File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2024113_aid0001,_250m_16_days_NDVI,aid0001,2024-04-22,3876.0,0.367,0.8456,"(0.367,0.8456)",0.6081169,0.0832217,0.0069258,0.666225,0.839,0.6131,0.3737,0.5478
MOD13Q1_061__250m_16_days_NDVI_doy2024129_aid0001,_250m_16_days_NDVI,aid0001,2024-05-08,3876.0,0.3702,0.8718,"(0.3702,0.8718)",0.7243394,0.0537766,0.0028919,0.7612,0.857,0.7314,0.6009,0.697025
MOD13Q1_061__250m_16_days_NDVI_doy2024145_aid0001,_250m_16_days_NDVI,aid0001,2024-05-24,3876.0,0.4179,0.8364,"(0.4179,0.8364)",0.7110594,0.051845,0.0026879,0.7457,0.8321,0.71965,0.5974,0.686125
MOD13Q1_061__250m_16_days_NDVI_doy2024161_aid0001,_250m_16_days_NDVI,aid0001,2024-06-09,3876.0,0.3637,0.7854,"(0.3637,0.7854)",0.6363369,0.0594122,0.0035298,0.68035,0.7854,0.6444,0.4826,0.600975
MOD13Q1_061__250m_16_days_NDVI_doy2024177_aid0001,_250m_16_days_NDVI,aid0001,2024-06-25,3876.0,0.3099,0.7189,"(0.3099,0.7189)",0.5303893,0.0639378,0.004088,0.5708,0.6966,0.52695,0.3601,0.4865
MOD13Q1_061__250m_16_days_NDVI_doy2024193_aid0001,_250m_16_days_NDVI,aid0001,2024-07-11,3876.0,0.3338,0.7356,"(0.3338,0.7356)",0.5546161,0.0627749,0.0039407,0.598,0.7223,0.5553,0.3847,0.512
MOD13Q1_061__250m_16_days_NDVI_doy2024209_aid0001,_250m_16_days_NDVI,aid0001,2024-07-27,3876.0,0.1618,0.9676,"(0.1618,0.9676)",0.6566754,0.0771793,0.0059566,0.7081,0.8342,0.67,0.4979,0.623975
MOD13Q1_061__250m_16_days_NDVI_doy2024225_aid0001,_250m_16_days_NDVI,aid0001,2024-08-12,3876.0,0.3036,0.8138,"(0.3036,0.8138)",0.6582897,0.0578878,0.003351,0.6983,0.8018,0.66755,0.5245,0.628775
MOD13Q1_061__250m_16_days_NDVI_doy2024241_aid0001,_250m_16_days_NDVI,aid0001,2024-08-28,3876.0,0.3684,0.7966,"(0.3684,0.7966)",0.6413934,0.0540286,0.0029191,0.6801,0.7815,0.6495,0.506,0.61
MOD13Q1_061__250m_16_days_NDVI_doy2024257_aid0001,_250m_16_days_NDVI,aid0001,2024-09-13,3876.0,0.302,0.7221,"(0.302,0.7221)",0.5662089,0.0722323,0.0052175,0.6238,0.7221,0.5745,0.3636,0.51065
MOD13Q1_061__250m_16_days_NDVI_doy2024273_aid0001,_250m_16_days_NDVI,aid0001,2024-09-29,3876.0,0.2562,0.5983,"(0.2562,0.5983)",0.4133511,0.066391,0.0044078,0.4597,0.5983,0.4024,0.2562,0.3633
MOD13Q1_061__250m_16_days_NDVI_doy2024289_aid0001,_250m_16_days_NDVI,aid0001,2024-10-15,3876.0,0.2598,0.6308,"(0.2598,0.6308)",0.4078691,0.0546754,0.0029894,0.4437,0.5488,0.4026,0.2598,0.3689
